Anonymous Flier	None	0	0	0	0	1	0
Ron Christie	Republican	0	0	0	1	0	0
New York City Police Benevolent Association	None	0	1	0	0	0	0
Your Action News 3	None	0	0	0	0	0	1
Tom Grady	Republican	0	0	0	0	1	0
Austinites for Geographic Representation	None	1	0	0	0	0	0
Joe Kennedy	Democrat	0	1	0	0	0	0
Herb Kohl	Democrat	0	1	0	1	0	0
VoteVets.org	None	2	0	2	1	1	0
Ted Yoho	Republican	1	0	0	1	1	0
Kellyanne Conway	Republican	0	1	0	5	5	0
Dino Rossi	Republican	0	1	0	0	0	0
David Dooley	State official	1	0	0	0	0	0
Mark Assini	Republican	0	0	0	0	1	0
Mike Hashimoto	None	1	0	0	0	0	0
Jim Keffer	Republican	1	0	0	0	0	0
Limberbutt McCubbins	Democrat	0	0	1	0	0	0
Mary Taylor	Republican	0	1	1	1	0	0
Nrt Online	None	0	0	0	0	0	1
Katrina Shankland	Democrat	0	0	0	2	1	0
Democratic candidates for Wisconsin governor	Democrat	0	0	0	0	0	0
Occupy Wall Street	Activist	0	1	0	0	0	0
Jennifer Beck	Republican	1	0	0	0	2	0
Susan Cole	None	1	0	0	0	0	0
Sidney Powell	Republican	0	0	0	0	1	1
Susan Combs	Republican	0	0	0	0	1	1
Michelle Wolf	None	0	0	1	0	0	0
Carla Sands	Republican	0	0	1	0	0	0
Jeff Mullis	Republican	0	1	0	0	0	0
Science Vibe	None	0	0	0	0	0	1
Leticia Van de Putte	Democrat	2	1	4	2	2	1
Steven Koonin	None	0	0	0	1	0	0
Sher Valenzuela	Republican	0	0	1	0	0	0
City of Austin	None	1	0	0	1	0	0
Mika Brzezinski	None	0	0	0	0	0	1
The Walking Dead	None	0	0	0	0	0	1
Mike Coffman	Republican	0	0	0	0	1	0
Florida Wildlife Federation	None	1	0	0	0	0	0
Cynthia Meyer	Republican	1	0	0	0	0	0
Anonymous cyber-squatter	None	0	0	1	0	0	0
Samantha Bee	None	1	1	0	0	0	0
Jack Murphy	Republican	0	0	1	0	0	0
David Menchetti	None	1	0	0	0	0	0
Dale Righter	Republican	0	0	0	0	1	0
Onward Ohio	Republican	0	0	0	1	0	0
Thom Tillis	Republican	0	2	7	3	2	0
America Today	None	0	0	0	0	0	1
EmpowerED Georgia	None	0	0	1	0	0	0
Gerald Daugherty	Republican	0	0	1	1	0	0
Democrats Rising	Democrat	0	0	0	1	0	0
Terry Lawler	None	0	0	0	1	0	0
John Huppenthal	Republican	0	0	0	0	1	0
Paul Soglin	Democrat	0	0	1	0	1	0
Andy Borowitz	None	0	0	0	0	0	0
Deadspin	None	1	0	0	0	0	0
Ruben Kihuen	Democrat	0	0	1	0	0	0
Hannah Willard	None	0	0	0	0	1	0
Ken Allen	Democrat	0	0	0	0	1	0
Tom Letson	Democrat	0	0	0	0	0	1
DuBose Porter	Democrat	1	1	0	0	0	0
Carlos Guillermo Smith	Democrat	0	2	0	0	0	0
